time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,daily walk trips,daily chosen car,CAR COST KM,daily chosen bus,daily chosen railway,emissions per year,enviromental impact on economy,business construction,emission per car petrol,emission per car,Number of Bus Routes,Road available,Number of Railway Lines,ITBR,Number of Trips per Bus Route,Number of Trips per Railway line,ILRR,construction,increasing railway trips,increaing bus trips,ITRR,Land Use for mobility,daily railway capacity,Daily railway trips,road construiction,increasing railway lines,increasing bus routes,RCR,IRBR,gdp growth rate,WELL TO TANK CO2 EMISSION RAILWAY ELECTRICITY,"""emissions of greenhouse gases (GHG) mobility""",railway electricity co2 emission,number of trains,bus electricity activity,bus natural gas activity,AVERAGE DISTANCE RAILWAY TRIP,ENERGY INTENSITY PER KM RAILWAY ELECTRICITY,TANK TO WHEEL CO2 EMISSION RAILWAY ELECTRICITY,PERCENTAGE BUS DIESEL,PERCENTAGE BUS ELECTRICITY,PERCENTAGE BUS NATURAL GAS,GHC CORRECTION BUS ELECTRICITY,"""Motorization rate number of motorized vehicles per 1000 inhabitants.""",railway activity per year,Railway Daily Occupancy rate,bus electricity co2 emission,bus diesel co2 emission,bus diesel activity,MAX CAPACITY RAILWAY,ENERGY INTENSITY PER KM BUS NATURAL GAS,bus natural gas co2 emission,GHC CORRECTION RAILWAY ELECTRICITY,WELL TO TANK CO2 EMISSION NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS NATURAL GAS,ENERGY INTENSITY PER KM BUS ELECTRICITY,VEHICLES PER LINE,WELL TO TANK CO2 EMISSION BUS ELECTRICITY,GHC CORRECTION BUS NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS ELECTRICITY,business income multiplier,number of bus,VEHICLES PER ROUTE,CO2 CAPTURE PER GREEN AREA,business growth,DIESEL PETROL RATIO,car diesel co2 emissions,increase amount,INITIAL RATIO CAR PETROL,number of mototized private vehicles,GDPGN,Emissions of greenhouse gases,TPC,percentage car diesel,percentage car petrol,INITIAL RATIO CAR DIESEL,INITIAL RATIO CAR ELECTRICITY,percentage car eletricity,PRIVATE PARKING CONSTRUCTION,MAX CAPACITY BUS,BUS Daily Occupancy rate,daily bus capacity,PEDESTRIAN SIDEWALK CONSTRUCTION,Daily bus trips,ticket fare pt 10 km,Mobility space usage,Affordability of public transport for the poorest group,GHC CORRECTION CAR DIESEL,GHC CORRECTION CAR ELECTRICITY,GHC CORRECTION CAR PETROL,AVERAGE DISTANCE BUS ROUTES,AVERAGE DISTANCE CAR,co2 capture green spaces,CO2 CAPTURE PER M2 BODY OF WATER,"""co2 capture sea/river""",CO2 TECHNOLOGIES CAPTURE,"""emissions of greenhouse gases (GHG) business""",BODY OF WATER M2,bus activity per year,WELL TO TANK CO2 EMISSION CAR DIESEL,car activity per year,car diesel activity,car electricity activity,car electricity co2 emission,car petrol activity,car petrol co2 emission,ENERGY INTENSITY PER KM CAR PETROL,GREEN AREA,WELL TO TANK CO2 EMISSION BUS DIESEL,GHC CORRECTION BUS DIESEL,ENERGY INTENSITY PER KM BUS DIESEL,ENERGY INTENSITY PER KM CAR DIESEL,ENERGY INTENSITY PER KM CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR ELECTRICITY,EpB,TANK TO WHEEL CO2 EMISSION BUS DIESEL,WELL TO TANK CO2 EMISSION CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR DIESEL,TANK TO WHEEL CO2 EMISSION CAR PETROL,WELL TO TANK CO2 EMISSION CAR PETROL,average monthly income 95,average monthly income 25,average monthly income 50,income 95 multiplier,income 50 multiplier,average monthly income,income 25 multiplier,labor force income multiplier,IMI50,IMI95,IMI25,housing construction,net births,outmigration,inmigration,Population,AREA,attractiveness from jobs multiplier,attractiveness from housing multiplier,BCN,BDN,BN,business demolition,business labor force multiplier,business land multiplier,Business structures,DN,HCN,HDN,households to housing ratio,Housing,housing availability multiplier,housing demolition,housing land multiplier,HS,IMN,jobs,JPBS,labor force,labor to job ratio,land fraction occupied,LPBS,LPF,LPH,OMN
2021,2071,2021,1,1,3333,3333,0.268,33333,3333,6923.071607879511,0.9988461547320201,1288.3996120902839,0.14281,0.04000000000000001,94,400000.0,2,0,18.489,75,0,40.0,0,0.0,0,9000.0,12000,150,0.0,0,0,0.0,0,0.025,0.5,23963.444607879504,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,9.236338824702633,892425.0,0.27775,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.0,61.1,0.65,0.00113,0.0,3.91210447011552,615.1323780822528,35.25,0.1991,1449.1304347826087,0.05,0.14464128328280976,2.3,0.1991,0.7788999999999999,0.7789,0.022,0.022,20,80,0.23974145639212735,139037.28,20,1737.9660000000001,1.4,0.05432322317790855,0.11402016108403816,0.01,0.1,0.02,16.3,12.8,67729.375,0.001,4731.8,9,55429.802,4731800.0,10340028.717,0.6,15571776.0,3100340.6016,342579.072,13.703162880000002,12128856.326399999,1732.121971973184,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3389.0,736.7118165890687,1035.0,2.40354609929078,0.7340425531914894,1410.0,0.5964539007092199,-0.07396325064605061,1035,3389,841,109.61610716710783,-308.1555000000001,3562.0125,12345.000902927126,165675.0,22814900.0,0.9999995069116624,1.1088303073022072,0.0284,0.0145,0.00844,233.711,2.0,1.408939990970813,16118.0,0.0103,0.001462,0,0.854892923597057,74537.0,0.7823393853955855,0.0,1.2857599638832518,2.6,0.0672,37071.399999999994,2.3,109676.85,2.958530025842024,0.31787998194162587,80,0.662,80,0.0215
2022,2071,2021,1,1,3333,163909,0.268,44630,8366,79574.57805123604,0.986737570324794,1358.0305885489972,0.14281000000000002,0.04000000000000001,94,400000.0,2,0,18.489,75,0,40.0,0,0.0,0,9040.0,12000,150,0.0,0,0,0.0,0,0.0262307215,0.5,92987.87691425756,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,409.68102822392365,892425.0,0.6971666666666667,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.0,61.1,0.65,0.00113,0.0,3.91210447011552,18571.29741606791,37.909950247875,0.1991,71264.78260869566,0.052461443,0.5339532939207007,2.3,0.19798031697341512,0.7745196830265849,0.7789,0.022,0.027499999999999997,20,80,0.3209930458938782,139037.28,20,1737.9660000000001,1.4,0.05190932342173987,0.11102849509833315,0.01,0.1,0.02,16.3,7.902516030236294,67729.375,0.001,4731.8,9,59056.87613697849,4731800.0,10340028.717,0.6,472782127.50000024,93601555.46181561,13001508.506250005,520.0603402500003,366179063.5319346,52294.03206299559,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3473.725,756.5625376224798,1060.875,2.40354609929078,0.7340425531914894,1445.25,0.5964539007092199,-0.0729717781543125,1035,3389,841,119.4577735723291,-323.91868919944454,3744.221407412933,12604.241263223044,174149.83290292713,22814900.0,0.999999513521479,1.0770220226744491,0.0284,0.0145,0.00844,249.00398487530916,2.0,1.4109812968178819,17172.688612090285,0.0103,0.001462,0,0.8973039697674012,74646.61610716711,0.8459559546511017,0.0,1.2939251872715278,2.6,0.0672,39497.183807807654,2.3,115287.18938173776,2.9188711261724998,0.32196259363576396,80,0.662,80,0.0215
2023,2071,2021,1,1,3333,172304,0.268,47073,8624,86661.9136389889,0.9855563477268352,1446.2068890942696,0.14281000000000002,0.04000000000000001,94,400000.0,2,0,18.489,75,0,40.0,0,0.0,0,9080.0,12000,150,0.0,0,0,0.0,0,0.06685528889931398,0.5,96261.2700119766,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,410.5181003160821,892425.0,0.7186666666666667,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01635886294965699,61.1,0.65,0.00113,0.06543545179862796,3.91210447011552,19384.513002084605,99.15708695771384,0.1991,74914.78260869566,0.068275126,0.5269221765882401,2.3,0.19651181229148387,0.7687747392960161,0.7789,0.022,0.0347134484125,20,80,0.3385638729411277,139037.28,20,1737.9660000000001,1.4,0.049702786622552876,0.10797052453658981,0.01,0.1,0.02,16.3,7.905308640542296,67729.375,0.001,4731.8,9,62870.818627012304,4731800.0,10340028.717,0.6,497172449.49999994,97700259.07264124,17258570.17783451,690.3428071133806,382213620.2495242,54583.927107834555,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3589.106123401112,777.9901075828661,1088.7025166713124,2.40354609929078,0.7340425531914894,1483.159950247875,0.5964539007092199,-0.0719048745216914,1035,3389,841,129.51754020419327,-339.7958373693404,3927.747582495062,12830.936815416393,182685.9340695378,22814900.0,0.9999995206341699,1.0451633961542335,0.0284,0.0145,0.00844,265.0848706285776,2.0,1.4131351250218118,18281.715215763972,0.0103,0.001462,0,0.9397821384610221,74766.07388073944,0.9096732076915331,0.0,1.3025405000872476,2.6,0.0672,42047.94499625713,2.3,120938.08835403403,2.876194980867656,0.3262702500436238,80,0.662,80,0.0215
2024,2071,2021,1,1,3333,180985,0.268,49439,9046,92989.254074869,0.9845017909875219,1540.4950632506498,0.14281000000000002,0.04,94,400000.0,2,0,18.489,75,0,40.0,0,0.0,0,9120.0,12000,150,0.0,0,0,0.0,0,0.04359660548732079,0.5,98526.73182635318,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,411.8719342903893,892425.0,0.7538333333333334,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016145209243660395,61.1,0.65,0.00113,0.06458083697464158,3.91210447011552,19842.515289565683,68.98365162691834,0.1991,78689.13043478261,0.022612374,0.5151742656158518,2.3,0.19178720263297933,0.7502915727314294,0.7789,0.022,0.0579212246355912,20,80,0.3555808916860284,139037.28,20,1737.9660000000001,1.4,0.0476864422002464,0.10097393113343638,0.01,0.1,0.02,16.3,7.893733734839905,67729.375,0.001,4731.8,9,66932.69724851582,4731800.0,10340028.717,0.6,521456301.00000006,100008645.26413088,30203387.54786546,1208.1355019146185,391244268.1880037,55873.593939928825,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3828.71878227233,831.8978874754768,1161.4880379487834,2.40354609929078,0.7340425531914894,1582.3170372055888,0.5964539007092199,-0.0707072469636285,1035,3389,841,139.7817976710503,-355.72374908506714,4111.8605404994305,13024.167848279832,191249.3274650898,22814900.0,0.9999995286183536,1.0134002324616493,0.0284,0.0145,0.00844,282.21113989633017,2.0,1.415432990993032,19462.837234229664,0.0103,0.001462,0,0.9821330233844675,74895.59142094363,0.9731995350767013,0.0,1.311731963972129,2.6,0.0672,44764.52563872823,2.3,126607.05478188946,2.8282898785451396,0.33086598198606454,80,0.662,80,0.0215
2025,2071,2021,1,1,3333,189720,0.268,51319,9446,99724.23249307553,0.9833792945844875,1641.055953595902,0.14281,0.04000000000000001,94,400000.0,2,0,18.489,75,0,40.0,0,0.0,0,9160.0,12000,150,0.0,0,0,0.0,0,0.03327119941157245,0.5,100934.47183214419,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,413.24131052314135,892425.0,0.7871666666666667,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016151684955786224,61.1,0.65,0.00113,0.0646067398231449,3.91210447011552,20311.895003226884,54.940754506613295,0.1991,82486.95652173914,0.001935659,0.505162591611861,2.3,0.18664649604755737,0.7301805915190479,0.7789,0.022,0.08317291243339475,20,80,0.36910244504207795,139037.28,20,1737.9660000000001,1.4,0.04584448955020947,0.09651297132585944,0.01,0.1,0.02,16.3,7.920734239932532,67729.375,0.001,4731.8,9,71259.93566093133,4731800.0,10340028.717,0.6,548493420.5,102374375.04146448,45619795.23353966,1824.791809341587,400499250.22499585,57195.29792463166,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3995.648617892846,870.3493307276641,1212.1249737174787,2.40354609929078,0.7340425531914894,1651.3006888325071,0.5964539007092199,-0.0693849443321633,1035,3389,841,151.10503630422468,-371.63899450424043,4295.82708701138,13102.520178040408,199805.91102378513,22814900.0,0.9999995374337044,0.9758373415036741,0.0284,0.0145,0.00844,300.45625678496776,2.0,1.417884136027243,20721.121157583984,0.0103,0.001462,0,1.024162658496326,75035.37321861468,1.0422846523685705,0.0,1.3215365441089721,2.6,0.0672,47658.57866244316,2.3,132271.51309774577,2.775397773286532,0.33576827205448606,80,0.662,80,0.0215
2026,2071,2021,1,1,3333,198186,0.268,53687,9684,105959.16136235667,0.9823401397729405,1748.6008369438514,0.14281000000000002,0.04,94,400000.0,2,0,18.489,75,0,40040.0,0,0.0,0,9200.0,12000,150,40000.0,0,0,0.1,0,0.03675833933621521,0.5,102559.07834409253,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,414.17847846184713,892425.0,0.807,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016162647668107606,61.1,0.65,0.00113,0.06465059067243042,3.91210447011552,20550.96979215338,62.718601963773004,0.1991,86167.82608695653,0.008866088,0.49250193536530945,2.3,0.18101293802360177,0.7081415239908762,0.7789,0.022,0.11084553798552206,20,80,0.3861338484182084,139037.28,20,1737.9660000000001,1.4,0.0441795877899661,0.09314635330582832,0.01,0.1,0.02,16.3,7.910386202859941,67729.375,0.001,4731.8,9,75870.25801826412,4731800.0,10340028.717,0.6,572220647.0000001,103579340.51123632,63428105.46313852,2537.124218525541,405213201.0256253,57868.49723846956,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4128.607344871427,901.8066410415659,1252.45382542978,2.40354609929078,0.7340425531914894,1706.2414433391205,0.5964539007092199,-0.0679198854547743,1035,3389,841,163.13662575713698,-387.32819512377654,4477.180750086663,13080.639289809873,208240.9651203099,22814900.0,0.9999995472007637,0.9347462369380628,0.0284,0.0145,0.00844,319.8949523887264,2.0,1.4204994527423986,22061.72085439492,0.0103,0.001462,0,1.0652537630619372,75186.47825491891,1.11419408535839,0.0,1.331997810969595,2.6,0.0672,50741.95796510831,2.3,137855.51890964515,2.716795418190972,0.3409989054847975,80,0.662,80,0.0215
2027,2071,2021,1,1,3333,206528,0.268,55579,10133,111499.69488076282,0.9814167175198729,1863.7437236740054,0.14281000000000002,0.04000000000000001,94,440000.0,2,0,18.489,75,0,40.0,0,0.0,0,49240.0,12000,150,0.0,0,0,0.0,0,0.036742713902287796,0.5,103186.29232551363,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,415.2133817358082,892425.0,0.8444166666666667,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.0161743142011439,61.1,0.65,0.00113,0.0646972568045756,3.91210447011552,20432.750643393858,64.99639284914227,0.1991,89794.78260869566,0.008788171,0.47670552034290575,2.3,0.17271812686075752,0.6756913561619489,0.7789,0.022,0.1515905169772936,20,80,0.399741709561637,139037.28,20,1737.9660000000001,1.4,0.22748157039731914,0.08957029358875124,0.01,0.1,0.02,16.3,7.909662128137592,67729.375,0.001,4731.8,9,80783.57755524921,4731800.0,10340028.717,0.6,596251845.5000002,102983501.89202984,90386125.50801042,3615.4450203204174,402882218.09995997,57535.609566855295,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4280.388732271009,937.8109263063665,1298.4919481478685,2.40354609929078,0.7340425531914894,1768.9600453028934,0.5964539007092199,-0.0663057332610466,1035,3389,841,175.12306051479484,-402.6101975647315,4653.827552495551,13020.249102444657,216457.09546490933,22814900.0,0.9999995579617783,0.8951140738170396,0.0284,0.0145,0.00844,340.61118771477567,2.0,1.4232903350347816,23490.426738950046,0.0103,0.001462,0,1.1048859261829604,75349.61488067605,1.1835503708201809,0.0,1.3431613401391271,2.6,0.0672,54027.9814995851,2.3,143294.59719777,2.652229330441864,0.3465806700695636,80,0.662,80,0.0215
2028,2071,2021,1,1,3333,216032,0.268,56953,10328,116819.98187594507,0.9805300030206758,1986.9447419223545,0.14281000000000002,0.04,94,440000.0,2,0,18.489,75,0,40.0,0,0.0,0,49280.0,12000,150,0.0,0,0,0.0,0,0.03673555311910365,0.5,103268.52652953207,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,418.8917060132606,892425.0,0.8606666666666667,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016189873559551822,61.1,0.65,0.00113,0.06475949423820729,3.91210447011552,20041.67724670991,67.37140415185623,0.1991,93926.95652173914,0.008711612,0.4601555532150371,2.3,0.1613791029668589,0.6313319100998815,0.7789,0.022,0.2072889869332596,20,80,0.40962395121653705,139037.28,20,1737.9660000000001,1.4,0.21958738469994687,0.08611218074981133,0.01,0.1,0.02,16.3,7.9381012998074345,67729.375,0.001,4731.8,9,86021.630346413,4731800.0,10340028.717,0.6,625932623.4999999,101012445.2981226,129748939.41379237,5189.957576551696,395171238.7880849,56434.40461132641,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4437.690366036945,975.4717540373523,1346.20206630309,2.40354609929078,0.7340425531914894,1833.9564381520356,0.5964539007092199,-0.06455917641561842,1035,3389,841,187.03495260808856,-417.4228866801664,4825.049496571814,12926.289786750303,224420.9068172937,22814900.0,0.9999995696054905,0.8571197233616539,0.0284,0.0145,0.00844,362.6966094861845,2.0,1.4262677850283807,25013.559274909276,0.0103,0.001462,0,1.1428802766383461,75524.73794119085,1.2500404841171058,0.0,1.3550711401135231,2.6,0.0672,57531.18633229133,2.3,148566.64031304844,2.582367056624737,0.35253557005676156,80,0.662,80,0.0215
2029,2071,2021,1,1,3333,225207,0.268,57779,10763,120134.95534090495,0.9799775074431825,2119.4827278522844,0.14281000000000002,0.04,94,440000.0,2,0,18.489,75,0,40.0,0,0.0,0,49320.0,12000,150,0.0,0,0,0.0,0,0.03673847037472773,0.5,100997.71066704397,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,422.21108288731307,892425.0,0.8969166666666667,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016210141187363865,61.1,0.65,0.00113,0.06484056474945546,3.91210447011552,18869.618256070786,69.85187660712653,0.1991,97916.08695652174,0.008636376,0.4351385393214524,2.3,0.14587683578826027,0.5706854213735607,0.7789,0.022,0.283437742838179,20,80,0.41556480391446093,139037.28,20,1737.9660000000001,1.4,0.2124902893104573,0.08277130863378289,0.01,0.1,0.02,16.3,7.931272118539832,67729.375,0.001,4731.8,9,91607.41967386099,4731800.0,10340028.717,0.6,651954970.0,95105128.10003015,184788645.1289327,7391.545805157309,372061196.7710371,53134.05951087182,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4600.749911609687,1014.8444115056025,1395.6555438188143,2.40354609929078,0.7340425531914894,1901.3278423038919,0.5964539007092199,-0.0626982858564509,1035,3389,841,198.8496840665657,-431.71478705067324,4990.2515707470275,12804.076022993742,232104.724220792,22814900.0,0.9999995820114276,0.8209092936913736,0.0284,0.0145,0.00844,386.248207406509,2.0,1.4294433993594438,26637.807407345445,0.0103,0.001462,0,1.1790907063086264,75711.77289379893,1.3134087360400963,0.0,1.3677735974377752,2.6,0.0672,61266.95703689452,2.3,153653.32743416433,2.507931434258036,0.3588867987188876,80,0.662,80,0.0215
2030,2071,2021,1,1,3333,233230,0.268,59562,10972,121008.90114834665,0.9798318498086089,2262.4036052191045,0.14281,0.04,94,440000.0,2,0,18.489,75,0,40.0,0,0.0,0,49360.0,12000,150,0.0,0,0,0.0,0,0.03674856679796563,0.5,95911.06295867263,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,423.7621174381591,892425.0,0.9143333333333333,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016233676648982814,61.1,0.65,0.00113,0.06493470659593126,3.91210447011552,16726.55277924255,72.43802957119667,0.1991,101404.34782608696,0.008562427,0.4004857444661563,2.3,0.12467804170378664,0.48775352427463303,0.7789,0.022,0.38756843402158037,20,80,0.42838870265586326,139037.28,20,1737.9660000000001,1.4,0.20610736381232006,0.07954636609812657,0.01,0.1,0.02,16.3,7.942916863182267,67729.375,0.001,4731.8,9,97568.013189674,4731800.0,10340028.717,0.6,676172172.5000001,84303822.32189503,262062990.02479497,10482.5196009918,329805360.1533102,47099.50348349423,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4769.8208185635085,1055.9878988862863,1446.9297936687262,2.40354609929078,0.7340425531914894,1971.1797189110184,0.5964539007092199,-0.06074024215470271,1035,3389,841,209.52520110333015,-445.44551102793787,5148.9669285487425,12713.008176920437,239486.83388598805,22814900.0,0.9999995950650523,0.7899463316458347,0.0284,0.0145,0.00844,411.3801079529727,2.0,1.4328308070702158,28371.04192779122,0.0103,0.001462,0,1.213404891138887,75910.62257786549,1.366756113923609,0.0,1.3813232282808636,2.6,0.0672,65253.3964339198,2.3,158540.2840325241,2.4296096861881082,0.3656616141404318,80,0.662,80,0.0215
2031,2071,2021,1,1,3333,241532,0.268,60310,11176,118739.83600682921,0.9802100273321951,2417.019473970714,0.14281000000000002,0.04,94,440000.0,2,0,18.489,75,0,44040.0,0,0.0,0,49400.0,12000,150,44000.0,0,0,0.1,0,0.0367782230788047,0.5,87276.32801005698,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,426.1666630941651,892425.0,0.9313333333333333,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01626667778940235,61.1,0.65,0.00113,0.0650667111576094,3.91210447011552,13314.373229822138,75.1606294414835,0.1991,105013.91304347827,0.008489735,0.3539108126830943,2.3,0.09568316878714847,0.3743225523270214,0.7789,0.022,0.5299942788858302,20,80,0.4337685547358234,139037.28,20,1737.9660000000001,1.4,0.20032000137001918,0.07643778971639202,0.01,0.1,0.02,16.3,7.955334696851762,67729.375,0.001,4731.8,9,103933.68299677223,4731800.0,10340028.717,0.6,701335783.4999999,67106030.1490975,371703952.83291113,14868.158113316447,262525800.51799124,37491.309571974336,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4945.172339245099,1098.9328748471944,1500.1023898433282,2.40354609929078,0.7340425531914894,2043.6177484822151,0.5964539007092199,-0.058714944554935915,1035,3389,841,218.6368154982261,-458.6860990993973,5302.0167369016335,12685.358492936135,246605.42962333182,22814900.0,0.9999996085670363,0.7654749931821715,0.0284,0.0145,0.00844,438.2199486633316,2.0,1.4364434438967975,30222.06542505735,0.0103,0.001462,0,1.2460333424237713,76120.14777896882,1.4075416780297143,0.0,1.3957737755871902,2.6,0.0672,69510.7504776319,2.3,163252.79441064567,2.3485977821974364,0.37288688779359513,80,0.662,80,0.0215
