time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,Affordability of public transport for the poorest group,change to ticket cost,CAR COST KM,daily walk trips,daily chosen bus,daily chosen railway,Public Transport Ticket Cost,daily chosen car,TCI,emissions per year,enviromental impact on economy,business construction,emission per car petrol,emission per car,Number of Bus Routes,Road available,Number of Railway Lines,ITBR,Number of Trips per Bus Route,Number of Trips per Railway line,ILRR,construction,increasing railway trips,increaing bus trips,ITRR,Land Use for mobility,daily railway capacity,Daily railway trips,road construiction,increasing railway lines,increasing bus routes,RCR,IRBR,gdp growth rate,WELL TO TANK CO2 EMISSION RAILWAY ELECTRICITY,"""emissions of greenhouse gases (GHG) mobility""",railway electricity co2 emission,number of trains,bus electricity activity,bus natural gas activity,AVERAGE DISTANCE RAILWAY TRIP,ENERGY INTENSITY PER KM RAILWAY ELECTRICITY,TANK TO WHEEL CO2 EMISSION RAILWAY ELECTRICITY,PERCENTAGE BUS DIESEL,PERCENTAGE BUS ELECTRICITY,PERCENTAGE BUS NATURAL GAS,GHC CORRECTION BUS ELECTRICITY,"""Motorization rate number of motorized vehicles per 1000 inhabitants.""",railway activity per year,Railway Daily Occupancy rate,bus electricity co2 emission,bus diesel co2 emission,bus diesel activity,MAX CAPACITY RAILWAY,ENERGY INTENSITY PER KM BUS NATURAL GAS,bus natural gas co2 emission,GHC CORRECTION RAILWAY ELECTRICITY,WELL TO TANK CO2 EMISSION NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS NATURAL GAS,ENERGY INTENSITY PER KM BUS ELECTRICITY,VEHICLES PER LINE,WELL TO TANK CO2 EMISSION BUS ELECTRICITY,GHC CORRECTION BUS NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS ELECTRICITY,business income multiplier,number of bus,VEHICLES PER ROUTE,CO2 CAPTURE PER GREEN AREA,business growth,DIESEL PETROL RATIO,car diesel co2 emissions,increase amount,INITIAL RATIO CAR PETROL,number of mototized private vehicles,GDPGN,Emissions of greenhouse gases,TPC,percentage car diesel,percentage car petrol,INITIAL RATIO CAR DIESEL,INITIAL RATIO CAR ELECTRICITY,percentage car eletricity,PRIVATE PARKING CONSTRUCTION,MAX CAPACITY BUS,BUS Daily Occupancy rate,daily bus capacity,PEDESTRIAN SIDEWALK CONSTRUCTION,Daily bus trips,Mobility space usage,GHC CORRECTION CAR DIESEL,GHC CORRECTION CAR ELECTRICITY,GHC CORRECTION CAR PETROL,AVERAGE DISTANCE BUS ROUTES,AVERAGE DISTANCE CAR,co2 capture green spaces,CO2 CAPTURE PER M2 BODY OF WATER,"""co2 capture sea/river""",CO2 TECHNOLOGIES CAPTURE,"""emissions of greenhouse gases (GHG) business""",BODY OF WATER M2,bus activity per year,WELL TO TANK CO2 EMISSION CAR DIESEL,car activity per year,car diesel activity,car electricity activity,car electricity co2 emission,car petrol activity,car petrol co2 emission,ENERGY INTENSITY PER KM CAR PETROL,GREEN AREA,WELL TO TANK CO2 EMISSION BUS DIESEL,GHC CORRECTION BUS DIESEL,ENERGY INTENSITY PER KM BUS DIESEL,ENERGY INTENSITY PER KM CAR DIESEL,ENERGY INTENSITY PER KM CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR ELECTRICITY,EpB,TANK TO WHEEL CO2 EMISSION BUS DIESEL,WELL TO TANK CO2 EMISSION CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR DIESEL,TANK TO WHEEL CO2 EMISSION CAR PETROL,WELL TO TANK CO2 EMISSION CAR PETROL,average monthly income 95,average monthly income 25,average monthly income 50,income 95 multiplier,income 50 multiplier,average monthly income,income 25 multiplier,labor force income multiplier,IMI50,IMI95,IMI25,housing construction,net births,outmigration,inmigration,Population,AREA,attractiveness from jobs multiplier,attractiveness from housing multiplier,BCN,BDN,BN,business demolition,business labor force multiplier,business land multiplier,Business structures,DN,HCN,HDN,households to housing ratio,Housing,housing availability multiplier,housing demolition,housing land multiplier,HS,IMN,jobs,JPBS,labor force,labor to job ratio,land fraction occupied,LPBS,LPF,LPH,OMN
2021,2071,2021,1,1,0.07329867498259597,0.0,0.268,3333,33333,3333,0.9,3333,0,6923.071607879511,0.9988461547320201,1288.3996120902839,0.14281,0.04000000000000001,94,400000.0,2,0,18.489,75,0,40.0,0,0.0,0,9000.0,12000,150,0.0,0,0,0.0,0,0.025,0.5,23963.444607879504,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,9.236338824702633,892425.0,0.27775,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.0,61.1,0.65,0.00113,0.0,3.91210447011552,615.1323780822528,35.25,0.1991,1449.1304347826087,0.05,0.14464128328280976,2.3,0.1991,0.7788999999999999,0.7789,0.022,0.022,20,80,0.23974145639212735,139037.28,20,1737.9660000000001,0.05432322317790855,0.01,0.1,0.02,16.3,12.8,67729.375,0.001,4731.8,9,55429.802,4731800.0,10340028.717,0.6,15571776.0,3100340.6016,342579.072,13.703162880000002,12128856.326399999,1732.121971973184,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3389.0,736.7118165890687,1035.0,2.40354609929078,0.7340425531914894,1410.0,0.5964539007092199,-0.07396325064605061,1035,3389,841,109.61610716710783,-308.1555000000001,3562.0125,12345.000902927126,165675.0,22814900.0,0.9999995069116624,1.1088303073022072,0.0284,0.0145,0.00844,233.711,2.0,1.408939990970813,16118.0,0.0103,0.001462,0,0.854892923597057,74537.0,0.7823393853955855,0.0,1.2857599638832518,2.6,0.0672,37071.399999999994,2.3,109676.85,2.958530025842024,0.31787998194162587,80,0.662,80,0.0215
2022,2071,2021,1,1,0.07137546113464274,0.0,0.268,3333,35101,4663,0.9,156657,0,79758.79880317293,0.9867068668661378,1357.9883318869593,0.14281000000000002,0.04000000000000001,94,400000.0,2,0,18.489,75,0,40.0,0,0.0,0,9040.0,12000,150,0.0,0,0,0.0,0,0.0262307215,0.5,93172.09766619446,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,391.5756793659755,892425.0,0.38858333333333334,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.0,61.1,0.65,0.00113,0.0,3.91210447011552,18619.22344663371,37.909950247875,0.1991,68111.73913043478,0.052461443,0.5350111229686308,2.3,0.19798031697341512,0.7745196830265849,0.7789,0.022,0.027499999999999997,20,80,0.2524574703993059,139037.28,20,1737.9660000000001,0.05190932342173987,0.01,0.1,0.02,16.3,8.289678724857492,67729.375,0.001,4731.8,9,59056.87613697849,4731800.0,10340028.717,0.6,474002213.00000006,93843108.37584023,13035060.8575,521.4024343000001,367124043.76665986,52428.9846903167,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3473.725,756.5625376224798,1060.875,2.40354609929078,0.7340425531914894,1445.25,0.5964539007092199,-0.0729717781543125,1035,3389,841,119.4577735723291,-323.91868919944454,3744.221407412933,12604.241263223044,174149.83290292713,22814900.0,0.999999513521479,1.0770220226744491,0.0284,0.0145,0.00844,249.00398487530916,2.0,1.4109812968178819,17172.688612090285,0.0103,0.001462,0,0.8973039697674012,74646.61610716711,0.8459559546511017,0.0,1.2939251872715278,2.6,0.0672,39497.183807807654,2.3,115287.18938173776,2.9188711261724998,0.32196259363576396,80,0.662,80,0.0215
2023,2071,2021,1,1,0.06940964490871317,0.0,0.268,3333,37087,4811,0.9,164494,0,86781.26698266079,0.9855364555028898,1446.1742806769691,0.14281000000000002,0.039999999999999994,94,400000.0,2,0,18.489,75,0,40.0,0,0.0,0,9080.0,12000,150,0.0,0,0,0.0,0,0.06685528889931398,0.5,96380.76867630924,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,391.9307241658168,892425.0,0.40091666666666664,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01635886294965699,61.1,0.65,0.00113,0.06543545179862796,3.91210447011552,19415.53980592444,99.15708695771384,0.1991,71519.13043478261,0.068275126,0.5275762973608179,2.3,0.19651181229148387,0.7687747392960161,0.7789,0.022,0.0347134484125,20,80,0.2667414092105369,139037.28,20,1737.9660000000001,0.049702786622552876,0.01,0.1,0.02,16.3,8.293898257687209,67729.375,0.001,4731.8,9,62870.67330635156,4731800.0,10340028.717,0.6,497968222.49999994,97856637.86704387,17286194.20281807,691.4477681127228,382825390.430138,54671.29400732802,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3589.106123401112,777.9898610779558,1088.7025166713124,2.40354609929078,0.7340425531914894,1483.159950247875,0.5964539007092199,-0.07190504072420406,1035,3389,841,129.51751073732692,-339.7958373693404,3927.747582495062,12830.936815402176,182685.9340695378,22814900.0,0.9999995206330619,1.0451633961542335,0.0284,0.0145,0.00844,265.0842579069781,2.0,1.413135050935733,18281.672959101936,0.0103,0.001462,0,0.9397821384610221,74766.07388073944,0.9096732076915331,0.0,1.302540203742932,2.6,0.0672,42047.84780593445,2.3,120938.08835403403,2.8762016289681624,0.326270101871466,80,0.662,80,0.0215
2024,2071,2021,1,1,0.0649118461770838,0.0,0.268,3333,39182,5129,0.9,172056,0,93029.04258404275,0.9844951595693262,1540.4786679490164,0.14281,0.04000000000000001,94,400000.0,2,0,18.489,75,0,40.0,0,0.0,0,9120.0,12000,150,0.0,0,0,0.0,0,0.04359537514235295,0.5,98566.77568938519,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,391.5729143435268,892425.0,0.42741666666666667,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016144594071176473,61.1,0.65,0.00113,0.06457837628470589,3.91210447011552,19852.84455528991,68.98170483111409,0.1991,74806.95652173914,0.022612374,0.5153836460281653,2.3,0.19178720263297933,0.7502915727314294,0.7789,0.022,0.0579212246355912,20,80,0.28180931042379426,139037.28,20,1737.9660000000001,0.047686442200249944,0.01,0.1,0.02,16.3,8.30770853675547,67729.375,0.001,4731.8,9,66932.44189465755,4731800.0,10340028.717,0.6,521727751.4999997,100060705.99617912,30219110.293253385,1208.7644117301356,391447935.2105672,55902.6796274211,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3828.7178088744276,831.8974606373764,1161.4880379487834,2.40354609929078,0.7340425531914894,1582.3170372055888,0.5964539007092199,-0.07070751671873464,1035,3389,841,139.7817421869545,-355.72374908504065,4111.860540499124,13024.167844531556,191249.32746507556,22814900.0,0.9999995286165552,1.013400232171897,0.0284,0.0145,0.00844,282.21006323714295,2.0,1.4154328607591506,19462.762981871925,0.0103,0.001462,0,0.982133023770804,74895.59139147676,0.973199535656206,0.0,1.3117314430366027,2.6,0.0672,44764.35485830542,2.3,126607.05478188003,2.8283006687493852,0.3308657215183014,80,0.662,80,0.0215
2025,2071,2021,1,1,0.06204416144827975,0.0,0.268,3333,40596,5144,0.9,180888,0,100026.14651250809,0.9833289755812487,1640.964706288677,0.14281000000000002,0.04,94,400000.0,2,0,18.489,75,0,40.0,0,0.0,0,9160.0,12000,150,0.0,0,0,0.0,0,0.03327039900258914,0.5,101236.6938862464,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,394.0226598894246,892425.0,0.42866666666666664,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01615128475129457,61.1,0.65,0.00113,0.06460513900517828,3.91210447011552,20389.2793061066,54.93936802003463,0.1991,78646.95652173914,0.001935659,0.5066751697656295,2.3,0.18664664112404686,0.7301811590734311,0.7789,0.022,0.08317219980252213,20,80,0.2919792447032911,139037.28,20,1737.9660000000001,0.045844489551072676,0.01,0.1,0.02,16.3,8.339113705718454,67729.375,0.001,4731.8,9,71259.62762626169,4731800.0,10340028.717,0.6,550582643.9999999,102764401.16379683,45793169.67456891,1831.7267869827565,402025073.1616342,57413.20069821299,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3995.643246378179,870.3478093585745,1212.123544686516,2.40354609929078,0.7340425531914894,1651.2987420367028,0.5964539007092199,-0.0693852442618152,1035,3389,841,151.1049645304759,-371.63899449724283,4295.827086930493,13102.520162457857,199805.91102002296,22814900.0,0.9999995374317049,0.9758373403634568,0.0284,0.0145,0.00844,300.4549580054651,2.0,1.4178839788388247,20721.0315865838,0.0103,0.001462,0,1.0241626596365432,75035.37313366371,1.0422846543639506,0.0,1.3215359153552986,2.6,0.0672,47658.37264914273,2.3,132271.5130952552,2.7754097704726073,0.3357679576776493,80,0.662,80,0.0215
2026,2071,2021,1,1,0.05987997814880018,0.0,0.268,3333,41839,5273,0.9,189792,0,107109.78197858356,0.9821483696702361,1748.2448657054908,0.14281000000000002,0.04000000000000001,94,400000.0,2,0,18.489,75,0,40040.0,0,0.0,0,9200.0,12000,150,40000.0,0,0,0.1,0,0.036758069123202036,0.5,103710.3163279759,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,396.6527951379895,892425.0,0.4394166666666667,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01616251256160102,61.1,0.65,0.00113,0.06465005024640408,3.91210447011552,20843.224239075385,62.71801839010716,0.1991,82518.26086956523,0.008866088,0.49803032884355103,2.3,0.1810132668947567,0.7081428105691914,0.7789,0.022,0.11084392253605191,20,80,0.3009192930126366,139037.28,20,1737.9660000000001,0.04417958779405155,0.01,0.1,0.02,16.3,8.377695055639856,67729.375,0.001,4731.8,9,75869.64065060766,4731800.0,10340028.717,0.6,580357117.4999999,105052337.80429915,64329059.37541636,2573.162375016655,410975720.32028437,58691.442618939815,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4128.599048775019,901.803936297562,1252.451378658669,2.40354609929078,0.7340425531914894,1706.2381100567375,0.5964539007092199,-0.06792043812727447,1035,3389,841,163.13647163445754,-387.3281950879589,4477.1807496726415,13080.639258857354,208240.9651010531,22814900.0,0.9999995471970792,0.9347462348160704,0.0284,0.0145,0.00844,319.8923493555717,2.0,1.4204991377267684,22061.54133486701,0.0103,0.001462,0,1.0652537651839296,75186.47809819419,1.114194089071877,0.0,1.3319965509070735,2.6,0.0672,50741.54507019412,2.3,137855.51889689715,2.7168175250909785,0.3409982754535368,80,0.662,80,0.0215
2027,2071,2021,1,1,0.05758119389274274,0.0,0.268,3333,44024,5549,0.9,196841,0,112383.60875421281,0.9812693985409645,1863.4204627497418,0.14281000000000002,0.04,94,440000.0,2,0,18.489,75,0,40.0,0,0.0,0,49240.0,12000,150,0.0,0,0,0.0,0,0.03674068327149199,0.5,104072.03879987779,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,395.75576542761485,892425.0,0.46241666666666664,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016173298885745997,61.1,0.65,0.00113,0.06469319554298399,3.91210447011552,20654.604643276445,64.99265683643021,0.1991,85583.04347826088,0.008788171,0.4807975391163536,2.3,0.172718637594311,0.6756933542049666,0.7789,0.022,0.15158800820072238,20,80,0.31663450263123677,139037.28,20,1737.9660000000001,0.22748157044961295,0.01,0.1,0.02,16.3,8.38899771897115,67729.375,0.001,4731.8,9,80781.74495433502,4731800.0,10340028.717,0.6,602724025.5000001,104101672.52971879,91365734.52026643,3654.6293808106575,407256618.4500149,58160.31768084663,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4280.377458526076,937.8061889544445,1298.489073008854,2.40354609929078,0.7340425531914894,1768.9561284468446,0.5964539007092199,-0.066307237446381,1035,3389,841,175.1225733721103,-402.6101974721788,4653.827551425721,13020.249036713853,216457.09541514984,22814900.0,0.9999995579517503,0.8951140695129347,0.0284,0.0145,0.00844,340.6034608426455,2.0,1.423289400209592,23489.89385121693,0.0103,0.001462,0,1.1048859304870653,75349.61456982864,1.1835503783523644,0.0,1.3431576008383683,2.6,0.0672,54026.75585779893,2.3,143294.5971648292,2.6522894978552403,0.3465788004191842,80,0.662,80,0.0215
2028,2071,2021,1,1,0.05535828939218176,0.0,0.268,3333,44275,5623,0.9,206641,0,117739.7611469419,0.9803767064755097,1986.5646446160772,0.14281,0.04000000000000001,94,440000.0,2,0,18.489,75,0,40.0,0,0.0,0,49280.0,12000,150,0.0,0,0,0.0,0,0.03672780790751151,0.5,104191.22352304836,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,400.6980203609074,892425.0,0.46858333333333335,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016186000953755757,61.1,0.65,0.00113,0.06474400381502303,3.91210447011552,20268.167499823565,67.35691869809818,0.1991,89843.91304347827,0.008711612,0.4642670108313552,2.3,0.16138042801236355,0.6313370938163234,0.7789,0.022,0.2072824781713131,20,80,0.31843977385058164,139037.28,20,1737.9660000000001,0.21958738481181242,0.01,0.1,0.02,16.3,8.392572142024093,67729.375,0.001,4731.8,9,86018.71262389353,4731800.0,10340028.717,0.6,633001067.5000002,102153983.20543307,131210029.95648669,5248.401198259468,399637054.3380805,57072.16773002128,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4437.664745954413,975.4636675537596,1346.1964487717655,2.40354609929078,0.7340425531914894,1833.9487852832747,0.5964539007092199,-0.06456136620581615,1035,3389,841,187.03413162168414,-417.4228864675165,4825.049494113764,12926.289606643848,224420.9067029658,22814900.0,0.999999569590892,0.8571197118682687,0.0284,0.0145,0.00844,362.6843073702984,2.0,1.426266296142126,25012.710853124026,0.0103,0.001462,0,1.1428802881317313,75524.73714320075,1.2500405042305298,0.0,1.355065184568504,2.6,0.0672,57529.234962185255,2.3,148566.64023736335,2.5824546482326456,0.35253259228425204,80,0.662,80,0.0215
2029,2071,2021,1,1,0.053211031931880204,0.0,0.268,3333,44877,5783,0.9,215592,0,121376.09238395123,0.9797706512693415,2118.935426968593,0.14281,0.04,94,440000.0,2,0,18.489,75,0,40.0,0,0.0,0,49320.0,12000,150,0.0,0,0,0.0,0,0.03673248947689248,0.5,102243.03028026946,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,404.200098066939,892425.0,0.48191666666666666,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016207150738446238,61.1,0.65,0.00113,0.06482860295378495,3.91210447011552,19165.808756000515,69.83969176385142,0.1991,93735.65217391305,0.008636376,0.4405038749298905,2.3,0.14588191594450053,0.570705295475497,0.7789,0.022,0.28341278858000246,20,80,0.3227695478507635,139037.28,20,1737.9660000000001,0.21249028957756494,0.01,0.1,0.02,16.3,8.414745908939107,67729.375,0.001,4731.8,9,91603.23710368176,4731800.0,10340028.717,0.6,662165443.5,96597963.57001992,187666154.84364906,7506.6461937459635,377901325.086331,53968.08823557893,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4600.6906565080335,1014.8271521802061,1395.639293348029,2.40354609929078,0.7340425531914894,1901.305703981373,0.5964539007092199,-0.06270114855834946,1035,3389,841,198.84844444707738,-431.71478650799287,4990.251564474109,12804.075636514195,232104.72392902835,22814900.0,0.999999581992343,0.8209092699605411,0.0284,0.0145,0.00844,386.23057226036224,2.0,1.4294412642004868,26636.591190369807,0.0103,0.001462,0,1.1790907300394589,75711.77127482243,1.313408777569053,0.0,1.3677650568019477,2.6,0.0672,61264.159737850554,2.3,153653.32724101678,2.5080459423339785,0.3588825284009739,80,0.662,80,0.0215
2030,2071,2021,1,1,0.05113819688122873,0.0,0.268,3333,45542,5756,0.9,224401,0,122398.92356212703,0.9796001794063122,2261.724655554243,0.14281000000000002,0.04000000000000001,94,440000.0,2,0,18.489,75,0,40.0,0,0.0,0,49360.0,12000,150,0.0,0,0,0.0,0,0.03674231591271513,0.5,97307.08946310365,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,407.7332806285414,892425.0,0.4796666666666667,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016230551206357566,61.1,0.65,0.00113,0.06492220482543026,3.91210447011552,17041.309786894242,72.42444684036492,0.1991,97565.65217391305,0.008562427,0.4063149867446973,2.3,0.12468843901935102,0.4877941996593296,0.7789,0.022,0.3875173613213194,20,80,0.3275524377346853,139037.28,20,1737.9660000000001,0.20610736439016467,0.01,0.1,0.02,16.3,8.410076603936702,67729.375,0.001,4731.8,9,97562.00909902337,4731800.0,10340028.717,0.6,688838804.0,85890235.20671669,266936995.70181352,10677.479828072543,336011573.09146976,47985.812753192804,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4769.731603359234,1055.962143628528,1446.9045990044733,2.40354609929078,0.7340425531914894,1971.1453957452245,0.5964539007092199,-0.060743980016482714,1035,3389,841,209.52334108184633,-445.44550977908256,5148.966914113049,12713.007630494341,239486.83321456044,22814900.0,0.9999995950401332,0.7899462999270223,0.0284,0.0145,0.00844,411.3547926536316,2.0,1.4328277411066408,28369.296045078037,0.0103,0.001462,0,1.213404933430637,75910.61971926951,1.3667561667882964,0.0,1.3813109644265635,2.6,0.0672,65249.380903679485,2.3,158540.28358803902,2.4297592006593085,0.3656554822132818,80,0.662,80,0.0215
2031,2071,2021,1,1,0.04914015703416243,0.0,0.268,3333,45569,5838,0.9,233075,0,120250.65086514012,0.97995822485581,2416.1996317570806,0.14281,0.04000000000000001,94,440000.0,2,0,18.489,75,0,44040.0,0,0.0,0,49400.0,12000,150,44000.0,0,0,0.1,0,0.036769766093906274,0.5,88795.39480760155,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,411.2563830044054,892425.0,0.4865,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016262449296953137,61.1,0.65,0.00113,0.06504979718781255,3.91210447011552,13623.50538059077,75.14158510843299,0.1991,101336.95652173914,0.008489735,0.3600707225955838,2.3,0.09570231830886287,0.3743974672565208,0.7789,0.022,0.5299002144346163,20,80,0.3277466302562881,139037.28,20,1737.9660000000001,0.20032000234655295,0.01,0.1,0.02,16.3,8.433710179126889,67729.375,0.001,4731.8,9,103925.43105753858,4731800.0,10340028.717,0.6,717475754.9999999,68664093.0839017,380190556.42613816,15207.62225704553,268621105.48996,38361.78007502119,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4945.047774724698,1098.8975872107815,1500.0672248766562,2.40354609929078,0.7340425531914894,2043.5698425855894,0.5964539007092199,-0.05871960638218021,1035,3389,841,218.63417465179256,-458.68609686336265,5302.016711054996,12685.357546184126,246605.42842116265,22814900.0,0.9999996085359575,0.7654749398075157,0.0284,0.0145,0.00844,438.1851556656904,2.0,1.4364392286941077,30219.665907978648,0.0103,0.001462,0,1.246033413589979,76120.14306035136,1.4075417669874741,0.0,1.3957569147764313,2.6,0.0672,69505.23158835089,2.3,163252.7936148097,2.3487842552872085,0.3728784573882156,80,0.662,80,0.0215
