time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,Number of Trips per Bus Route,Number of Bus Routes,IRBR,Number of Railway Lines,ITRR,road construiction,ILRR,Number of Trips per Railway line,increasing railway trips,increaing bus trips,daily railway capacity,Land Use for mobility,ITBR,Daily railway trips,increasing bus routes,increasing railway lines,construction,Road Available,RCR,gdp growth rate,WELL TO TANK CO2 EMISSION RAILWAY ELECTRICITY,"""emissions of greenhouse gases (GHG) mobility""",railway electricity co2 emission,number of trains,bus electricity activity,bus natural gas activity,AVERAGE DISTANCE RAILWAY TRIP,ENERGY INTENSITY PER KM RAILWAY ELECTRICITY,TANK TO WHEEL CO2 EMISSION RAILWAY ELECTRICITY,PERCENTAGE BUS DIESEL,PERCENTAGE BUS ELECTRICITY,PERCENTAGE BUS NATURAL GAS,GHC CORRECTION BUS ELECTRICITY,DAILY CHOSEN RAILWAY,"""Motorization rate number of motorized vehicles per 1000 inhabitants.""",railway activity per year,Railway Daily Occupancy rate 0,bus electricity co2 emission,bus diesel co2 emission,bus diesel activity,MAX CAPACITY RAILWAY,ENERGY INTENSITY PER KM BUS NATURAL GAS,bus natural gas co2 emission,GHC CORRECTION RAILWAY ELECTRICITY,WELL TO TANK CO2 EMISSION NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS NATURAL GAS,ENERGY INTENSITY PER KM BUS ELECTRICITY,VEHICLES PER LINE,WELL TO TANK CO2 EMISSION BUS ELECTRICITY,GHC CORRECTION BUS NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS ELECTRICITY,business income multiplier,number of bus,VEHICLES PER ROUTE,CO2 CAPTURE PER GREEN AREA,business growth,DIESEL PETROL RATIO,car diesel co2 emissions,increase amount,INITIAL RATIO CAR PETROL,number of mototized private vehicles,GDPGN,"""Emissions of greenhouse gases (GHG)""",TPC,percentage car diesel,percentafe car petrol,INITIAL RATIO CAR DIESEL,INITIAL RATIO CAR ELECTRICITY,percentage car eletricity,PRIVATE PARKING CONSTRUCTION,MAX CAPACITY BUS,BUS Daily Occupancy rate,daily bus capacity,DAILY CHOSEN BUS,PEDESTRIAN SIDEWALK CONSTRUCTION,Daily bus trips,ticket fare pt 10 km,Mobility space usage,Affordability of public transport for the poorest group,GHC CORRECTION CAR DIESEL,GHC CORRECTION CAR ELECTRICITY,GHC CORRECTION CAR PETROL,ghg emissions,AVERAGE DISTANCE BUS ROUTES,AVERAGE DISTANCE CAR,co2 capture green spaces,CO2 CAPTURE PER M2 BODY OF WATER,"""co2 capture sea/river""",CO2 TECHNOLOGIES CAPTURE,DAILY CHOSEN CAR,"""emissions of greenhouse gases (GHG) business""",BODY OF WATER M2,bus activity per year,WELL TO TANK CO2 EMISSION CAR DIESEL,capture,car activity per year,car diesel activity,car electricity activity,car electricity co2 emission,car petrol activity,car petrol co2 emission,ENERGY INTENSITY PER KM CAR PETROL,GREEN AREA,Total GHG,WELL TO TANK CO2 EMISSION BUS DIESEL,GHC CORRECTION BUS DIESEL,ENERGY INTENSITY PER KM BUS DIESEL,ENERGY INTENSITY PER KM CAR DIESEL,ENERGY INTENSITY PER KM CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR ELECTRICITY,EpB,TANK TO WHEEL CO2 EMISSION BUS DIESEL,WELL TO TANK CO2 EMISSION CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR DIESEL,TANK TO WHEEL CO2 EMISSION CAR PETROL,WELL TO TANK CO2 EMISSION CAR PETROL,average monthly income 95,average monthly income 25,average monthly income 50,income 95 multiplier,income 50 multiplier,average monthly income,income 25 multiplier,labor force income multiplier,IMI50,IMI95,IMI25,housing construction,net births,business construction,outmigration,inmigration,Population,AREA,attractiveness from jobs multiplier,attractiveness from housing multiplier,BCN,BDN,BN,business demolition,business labor force multiplier,business land multiplier,Business structures,DN,HCN,HDN,households to housing ratio,Housing,housing availability multiplier,housing demolition,housing land multiplier,HS,IMN,jobs,JPBS,labor force,labor to job ratio,land fraction occupied,LPBS,LPF,LPH,OMN
2021,2071,2021,1,1,18.489,94.0,0.0,2,0,0,0,75,0,0.0,12000,9000,0,150,0.0,0,40,400000,0,0.05,1,82413.42197298408,847.4614499999999,20,358359.89937000006,5518742.450298001,16.3,1,1,0.18,0.05,0.77,1,91670,381.728318276353,618585.0,7.639166666666667,490.95306213690003,1767.43102369284,1290095.637732,80,1,7560.677156908261,1,1,1,1,10,1,1,1,0.2,61.1,0.65,0.00113,0.0,3.91210447011552,14910.51447838656,70.5,0.1991,63161.739130434784,0.05,0.4974403016326186,2.3,0.1991,0.7788999999999999,0.7789,0.022,0.022,20,80,0.6593195724197136,139037.28,91670,20,1737.9660000000001,1.4,0.05432322317790855,0.09984568766356959,1,1,1,82420.75566298408,16.3,12.0,67729.375,0.001,4731.8,9,145272,7.33369,4731800.0,7167197.987400001,1,72470.175,441045792.0,87812217.1872,9703007.423999999,531.7248068352,343530567.38879997,56304.65999502431,1,59937500.0,300.0,1,1,1,1,1,1,0.000455,1,1,1,1,1,2261.0,841.2982269503547,1035.0,2.40354609929078,0.7340425531914894,1410.0,0.5964539007092199,1.5,1035,3389,841,5643.595395411603,13220.865000000002,205.54500946185684,9436.848,1232.6636443989873,165675.0,9232860.0,0.1,1.1088303073022072,0.0258,0.00831,0.0902,133.94057999999998,2.0,0.24714173073132262,16118.0,0.0104,0.1958,0,0.854892923597057,74537.0,0.7823393853955855,0.0,0.49428346146264523,2.6,0.0671,37071.399999999994,2.3,109676.85,2.958530025842024,0.901143307707471,100,0.662,90,0.05696
2022,2071,2021,1,1,18.489,94.0,0.0,2,0,0,0,75,0,0.0,12000,9040,0,150,0.0,0,40,400000,0,0.052461443,1,39826.29296312721,847.4614499999999,20,358359.89937000006,5518742.450298001,16.3,1,1,0.18,0.05,0.77,1,11278,290.00300315236433,618585.0,0.9398333333333333,490.95306213690003,1767.43102369284,1290095.637732,80,1,7560.677156908261,1,1,1,1,10,1,1,1,0.2,61.1,0.65,0.00113,0.0,3.91210447011552,6057.715678428069,77.6691663615,0.1991,49420.00000000001,0.052461443,0.23332298804941234,2.3,0.19887606339468303,0.778023936605317,0.7789,0.022,0.0231,20,80,0.7477203236426949,139037.28,103961,20,1737.9660000000001,1.4,0.052960987705270655,0.09509273629268393,1,1,1,39833.659233142615,16.3,6.237888198757763,67729.375,0.001,4731.8,9,113666,7.366270015405145,4731800.0,7167197.987400001,1,72470.175,179386057.39999998,35675592.923604645,4143817.925939999,227.08122234151193,139566646.55045533,22874.973369619627,1,59937500.0,10250.58066298408,1,1,1,1,1,1,0.000455,1,1,1,1,1,2374.0499999999997,883.3482269503547,1086.75,2.40354609929078,0.7340425531914894,1480.5,0.5964539007092199,1.5,1035,3389,841,2461.780407438868,13621.196115423041,89.9469174828901,9722.598129504966,1301.006168153995,170691.680644399,9232860.0,0.1,1.1359114595189619,0.0258,0.00831,0.0902,134.53561280882803,2.0,0.10767139636763987,16189.604429461857,0.0104,0.1958,0,0.818784720641384,80180.5953954116,0.7281770809620759,0.0,0.21534279273527973,2.6,0.0671,37236.09018776227,2.3,112997.89258659213,3.0346336582815874,0.9569314414529441,100,0.662,90,0.05696
2023,2071,2021,1,1,18.489,94.0,0.0,2,0,0,0,75,0,0.0,12000,9080,0,150,0.0,0,40,400000,0,0.07271763930573626,1,41385.561456294294,847.4614499999999,20,358359.89937000006,5518742.450298001,16.3,1,1,0.18,0.05,0.77,1,11469,294.21466624379195,618585.0,0.95575,490.95306213690003,1767.43102369284,1290095.637732,80,1,7560.677156908261,1,1,1,1,10,1,1,1,0.20444251330573626,61.1,0.65,0.00113,0.004442513305736248,3.91210447011552,6378.970572386388,113.3063834167953,0.1991,51668.69565217392,0.068275126,0.23529057453706223,2.3,0.19862935460811856,0.7770587860585814,0.7789,0.022,0.0243118593333,20,80,0.7598897216631396,139037.28,105653,20,1737.9660000000001,1.4,0.05162279649275112,0.09035422364722769,1,1,1,41392.90743845332,16.3,6.29062252814756,67729.375,0.001,4731.8,9,118838,7.345982159031843,4731800.0,7167197.987400001,1,72470.175,189133944.99999994,37567553.42983738,4598197.865992097,251.9812430563669,146968193.70417044,24088.086948113534,1,59937500.0,-22385.935103873308,1,1,1,1,1,1,0.000455,1,1,1,1,1,2505.5182760082985,929.6743041915047,1143.76247318025,2.40354609929078,0.7340425531914894,1558.1691663615,0.5964539007092199,1.5,1035,3389,841,1151.5941808617374,14036.124526917993,40.72643976112001,10018.76758212091,1340.8068244813642,175891.28479847105,9232860.0,0.1,1.1360550338487057,0.0258,0.00831,0.0902,134.1650807506695,2.0,0.04888642423091702,16145.015734135919,0.0104,0.1958,0,0.8185932882017257,82642.37580285047,0.7278899323025885,0.0,0.09777284846183404,2.6,0.0671,37133.53618851261,2.3,116440.03053658784,3.1357108018333295,0.9804454303076332,100,0.662,90,0.05696
2024,2071,2021,1,1,18.489,94.0,0.0,2,0,0,0,75,0,0.0,12000,9120,0,150,0.0,0,40,400000,0,0.019858218052570226,1,42850.02551929866,847.4614499999999,20,358359.89937000006,5518742.450298001,16.3,1,1,0.18,0.05,0.77,1,11578,297.0096712339101,618585.0,0.9648333333333333,490.95306213690003,1767.43102369284,1290095.637732,80,1,7560.677156908261,1,1,1,1,10,1,1,1,0.2,61.1,0.65,0.00113,-0.002754155947429775,3.91210447011552,6678.983663126381,33.19252593703709,0.1991,53751.739130434784,0.022612374,0.23641465316393326,2.3,0.19826944756041504,0.7756507920884343,0.7789,0.022,0.026079760351150706,20,80,0.7768923557768104,139037.28,108017,20,1737.9660000000001,1.4,0.05031739446418797,0.08423110162594143,1,1,1,42857.32898687604,16.3,6.342727030065757,67729.375,0.001,4731.8,9,123629,7.303467577381599,4731800.0,7167197.987400001,1,72470.175,198388684.99999985,39334414.977187164,5173929.361179923,283.5313289926597,153880340.66163278,25220.98783444161,1,59937500.0,-53463.20266541999,1,1,1,1,1,1,0.000455,1,1,1,1,1,2680.2880979068973,997.2563385557067,1226.9341801564083,2.40354609929078,0.7340425531914894,1671.4755497782953,0.5964539007092199,1.5,1035,3389,841,573.1127296269037,14463.705995706412,19.342163762190932,10323.96859041901,1369.480179896913,181249.4485677495,9232860.0,0.1,1.1260470498137116,0.0258,0.00831,0.0902,133.38860564404632,2.0,0.023352729314444237,16051.57709314637,0.0104,0.1958,0,0.831937266915051,83793.9699837122,0.7479059003725764,0.0,0.046705458628888474,2.6,0.0671,36918.62731423665,2.3,119987.13495185017,3.2500432351010096,0.9906589082742223,100,0.662,90,0.05696
2025,2071,2021,1,1,18.489,94.0,0.0,2,0,0,0,75,0,0.0,12000,9160,0,150,0.0,0,40,400000,0,-0.003851801509684636,1,44676.594174695056,847.4614499999999,20,358359.89937000006,5518742.450298001,16.3,1,1,0.18,0.05,0.77,1,11840,301.16879589746463,618585.0,0.9866666666666667,490.95306213690003,1767.43102369284,1290095.637732,80,1,7560.677156908261,1,1,1,1,10,1,1,1,0.2,61.1,0.65,0.00113,-0.005787460509684636,3.91210447011552,7056.779825292935,-6.5660430675515205,0.1991,56164.782608695656,0.001935659,0.23922099624608625,2.3,0.19816401463019892,0.7752383274508384,0.7789,0.022,0.026597657918962632,20,80,0.7878030985646439,139037.28,109534,20,1737.9660000000001,1.4,0.049047255416244065,0.08259147262675824,1,1,1,44683.84575114138,16.3,6.416994248291132,67729.375,0.001,4731.8,9,129179,7.2515764463253545,4731800.0,7167197.987400001,1,72470.175,209722047.70000005,41559362.928698085,5578115.282788965,305.68071749683526,162584569.488513,26647.61093916728,1,59937500.0,-83076.04867854394,1,1,1,1,1,1,0.000455,1,1,1,1,1,2733.513843398841,1017.0541501252445,1251.2989066421057,2.40354609929078,0.7340425531914894,1704.6680757153324,0.5964539007092199,1.5,1035,3389,841,320.26612532732594,14903.34155900412,10.258595455790719,10637.77362407111,1392.8129308217087,186758.66615293382,9232860.0,0.1,1.1114489155379739,0.0258,0.00831,0.0902,132.44087971200813,2.0,0.012474328288588077,15937.530651264515,0.0104,0.1958,0,0.8514014459493682,84367.0827133391,0.7771021689240522,0.0,0.024948656577176154,2.6,0.0671,36656.32049790838,2.3,123634.23699324219,3.372794522578904,0.9950102686845648,100,0.662,90,0.05696
2026,2071,2021,1,1,18.489,94.0,0.1,2,0,0,0,75,0,0.0,12000,9200,0,150,9.4,0,40,400000,0,0.0017610888326253116,1,46000.205709216636,847.4614499999999,20,358359.89937000006,5518742.450298001,16.3,1,1,0.18,0.05,0.77,1,12016,302.8284747759683,618585.0,1.0013333333333334,490.95306213690003,1767.43102369284,1290095.637732,80,1,7560.677156908261,1,1,1,1,10,1,1,1,0.2,61.1,0.65,0.00113,-0.007104999167374688,3.91210447011552,7331.677882981878,2.990508526354349,0.1991,58188.26086956522,0.008866088,0.23906512661920679,2.3,0.19818487104714802,0.7753199199328157,0.7789,0.022,0.026495209020036298,20,80,0.8092937376220248,139037.28,112522,20,1737.9660000000001,1.4,0.04781281150784135,0.08291073467628875,1,1,1,46007.40169272362,16.3,6.434450397136728,67729.375,0.001,4731.8,9,133833,7.195983506988775,4731800.0,7167197.987400001,1,72470.175,217868875.39999992,43178314.976336144,5772481.392683242,316.3319803190417,168918079.03098053,27685.673153177708,1,59937500.0,-110862.37792740256,1,1,1,1,1,1,0.000455,1,1,1,1,1,2722.984890650094,1013.1378081253786,1246.4791516244347,2.40354609929078,0.7340425531914894,1698.1020326477808,0.5964539007092199,1.5,1035,3389,841,214.5247915692392,15354.880352091346,6.510592388729803,10960.074998184498,1413.2455463725469,192417.04701868852,9232860.0,0.1,1.0945902112843717,0.0258,0.00831,0.0902,131.42554492983894,2.0,0.007977963442311609,15815.348367008297,0.0104,0.1958,0,0.8738797182875043,84687.34883866642,0.8108195774312564,0.0,0.015955926884623217,2.6,0.0671,36375.30124411908,2.3,127380.0851263718,3.501829009511386,0.9968088146230754,100,0.662,90,0.05696
2027,2071,2021,1,1,18.489,103.4,0.0,2,0,0,0,75,0,0.0,12000,9240,0,150,0.0,0,40,400000,0,0.0011218463396911174,1,47992.35704214561,847.4614499999999,20,394195.8893070001,6070616.695327802,16.3,1,1,0.18,0.05,0.77,1,12431,302.6918572541506,618585.0,1.0359166666666666,540.0483683505901,1944.1741260621243,1419105.2015052002,80,1,8316.744872599087,1,1,1,1,10,1,1,1,0.2,67.21000000000001,0.65,0.00113,-0.007666324660308882,3.91210447011552,7541.179870010629,1.908364440792065,0.1991,59913.913043478264,0.008788171,0.24211039644316038,2.3,0.19817537197867197,0.7752827585845685,0.7789,0.022,0.026541869436759558,20,80,0.7556312169722327,152941.00800000003,115567,20,1911.7626000000002,1.4,0.04661367353077158,0.08276502102688318,1,1,1,47999.49618934919,16.3,6.428000319298704,67729.375,0.001,4731.8,9,137802,7.139147203582571,4731800.0,7883917.786140001,1,72470.175,224105198.9,44412131.15436177,5948170.929302832,325.9597669257952,173744896.8163354,28476.788588197374,1,59937500.0,-137325.15123467892,1,1,1,1,1,1,0.000455,1,1,1,1,1,2727.780308932425,1014.9215086010269,1248.674312138461,2.40354609929078,0.7340425531914894,1701.0925411741352,0.5964539007092199,1.5,1035,3389,841,172.68887674825055,15818.362813933642,4.964995588631331,11290.901577464412,1431.8594805324133,198225.09791896792,9232860.0,0.1,1.0765128993922313,0.0258,0.00831,0.0902,130.38750167422234,2.0,0.0061324529539252826,15690.433414467188,0.0104,0.1958,0,0.8979828008103582,84901.87363023567,0.8469742012155372,0.0,0.012264905907850565,2.6,0.0671,36087.99685327453,2.3,131225.01482235678,3.6362510048947136,0.9975470188184299,100,0.662,90,0.05696
2028,2071,2021,1,1,18.489,103.4,0.0,2,0,0,0,75,0,0.0,12000,9280,0,150,0.0,0,40,400000,0,0.0008132749136233203,1,48722.29949061693,847.4614499999999,20,394195.8893070001,6070616.695327802,16.3,1,1,0.18,0.05,0.77,1,14142,299.90914892760435,618585.0,1.1785,540.0483683505901,1944.1741260621243,1419105.2015052002,80,1,8316.744872599087,1,1,1,1,10,1,1,1,0.2,67.21000000000001,0.65,0.00113,-0.00789833708637668,3.91210447011552,7692.559695771,1.3850079144144163,0.1991,61149.56521739131,0.008711612,0.23861908668693052,2.3,0.19816931023889067,0.7752590444252736,0.7789,0.022,0.026571645335835746,20,80,0.7766131631615765,152941.00800000003,118776,20,1911.7626000000002,1.4,0.045449109496179814,0.08267230265934462,1,1,1,48729.38157058025,16.3,6.424732658343049,67729.375,0.001,4731.8,9,140644,7.082079963313626,4731800.0,7883917.786140001,1,72470.175,228610825.29999992,45303649.56284452,6074565.7698043035,332.8862041852758,177232609.9673511,29048.424773648847,1,59937500.0,-161795.83004532973,1,1,1,1,1,1,0.000455,1,1,1,1,1,2730.840459287482,1016.059760015712,1250.0751328449999,2.40354609929078,0.7340425531914894,1703.0009056149272,0.5964539007092199,1.5,1035,3389,841,156.79906788441394,16293.916607150373,4.272946999188938,11630.344485504826,1449.094974280148,204184.41863596957,9232860.0,0.1,1.0576737652953376,0.0258,0.00831,0.0902,129.34524064865107,2.0,0.005320205097144315,15565.010908381597,0.0104,0.1958,0,0.923101646272883,85074.56250698392,0.8846524694093245,0.0,0.01064041019428863,2.6,0.0671,35799.52508927767,2.3,135170.08513701186,3.775750789987343,0.9978719179611423,100,0.662,90,0.05696
2029,2071,2021,1,1,18.489,103.4,0.0,2,0,0,0,75,0,0.0,12000,9320,0,150,0.0,0,40,400000,0,0.000642810572422511,1,49838.4222203602,847.4614499999999,20,394195.8893070001,6070616.695327802,16.3,1,1,0.18,0.05,0.77,1,14647,299.89785432886475,618585.0,1.2205833333333334,540.0483683505901,1944.1741260621243,1419105.2015052002,80,1,8316.744872599087,1,1,1,1,10,1,1,1,0.2,67.21000000000001,0.65,0.00113,-0.007993565427577488,3.91210447011552,7924.087634171988,1.0955972847046604,0.1991,62980.4347826087,0.008636376,0.23699055099554964,2.3,0.1981649108917887,0.7752418337198103,0.7789,0.022,0.02659325538840108,20,80,0.8005635741592599,152941.00800000003,122439,20,1911.7626000000002,1.4,0.044318255612357534,0.08260514168829229,1,1,1,49845.4473924299,16.3,6.4258534396465405,67729.375,0.001,4731.8,9,144855,7.025172069703121,4731800.0,7883917.786140001,1,72470.175,235496700.9999999,46667182.76897519,6262623.912818925,343.1917904224771,182566894.3182058,29922.71397875393,1,59937500.0,-185536.62347474947,1,1,1,1,1,1,0.000455,1,1,1,1,1,2733.0613833261286,1016.8858533887776,1251.091787590687,2.40354609929078,0.7340425531914894,1704.3859135293417,0.5964539007092199,1.5,1035,3389,841,150.59031616795272,16781.707441405244,3.8924419365087513,11978.522003288754,1465.081026236535,210297.08573189526,9232860.0,0.1,1.0382593946253724,0.0258,0.00831,0.0902,128.30588988842405,2.0,0.0048857008523461865,15439.938614732135,0.0104,0.1958,0,0.9489874738328369,85231.36157486832,0.9234812107492554,0.0,0.009771401704692373,2.6,0.0671,35511.858813883904,2.3,139216.67075451466,3.920286783188206,0.9980457196590615,100,0.662,90,0.05696
2030,2071,2021,1,1,18.489,103.4,0.0,2,0,0,0,75,0,0.0,12000,9360,0,150,0.0,0,40,400000,0,0.0005269495830126439,1,50862.726051664504,847.4614499999999,20,394195.8893070001,6070616.695327802,16.3,1,1,0.18,0.05,0.77,1,14911,299.8323429764525,618585.0,1.2425833333333334,540.0483683505901,1944.1741260621243,1419105.2015052002,80,1,8316.744872599087,1,1,1,1,10,1,1,1,0.2,67.21000000000001,0.65,0.00113,-0.008035477416987355,3.91210447011552,8136.573380868675,0.8987027709592356,0.1991,64846.08695652174,0.008562427,0.23486086548864687,2.3,0.19816143083027477,0.7752282193556053,0.7789,0.022,0.026610349814119874,20,80,0.826370910279341,152941.00800000003,126386,20,1911.7626000000002,1.4,0.043220209997017936,0.08255209189357725,1,1,1,50869.694615615386,16.3,6.4084440749332865,67729.375,0.001,4731.8,9,149146,6.968563950885,4731800.0,7883917.786140001,1,72470.175,241815831.39999998,47918571.14763648,6434803.864146233,352.62725175521354,187462456.38821724,30725.096602028807,1,59937500.0,-208161.35108231957,1,1,1,1,1,1,0.000455,1,1,1,1,1,2734.81822407841,1017.5393266628462,1251.8960026188213,2.40354609929078,0.7340425531914894,1705.4815108140463,0.5964539007092199,1.5,1035,3389,841,147.66883288642114,17281.915105260614,3.6231709028267405,12335.562461098301,1479.8006767003194,216565.35219624828,9232860.0,0.1,1.0183374731029882,0.0258,0.00831,0.0902,127.2720141359436,2.0,0.004584660963318499,15315.525166780219,0.0104,0.1958,0,0.9755500358626823,85381.95189103628,0.9633250537940234,0.0,0.009169321926636997,2.6,0.0671,35225.7078835945,2.3,143366.26315391637,4.069932778290189,0.9981661356146726,100,0.662,90,0.05696
2031,2071,2021,1,1,18.489,103.4,0.1,2,0,0,0,75,0,0.0,12000,9400,0,150,10.340000000000002,0,40,400000,0,0.00043183716398100674,1,52041.16517476062,847.4614499999999,20,394195.8893070001,6070616.695327802,16.3,1,1,0.18,0.05,0.77,1,15343,298.7510621803614,618585.0,1.2785833333333334,540.0483683505901,1944.1741260621243,1419105.2015052002,80,1,8316.744872599087,1,1,1,1,10,1,1,1,0.2,67.21000000000001,0.65,0.00113,-0.008057897836018993,3.91210447011552,8381.04688006505,0.7368783921078533,0.1991,66531.73913043478,0.008489735,0.233377343473594,2.3,0.1981585761856263,0.7752170516875155,0.7789,0.022,0.026624372126858246,20,80,0.8530544012106941,152941.00800000003,130467,20,1911.7626000000002,1.4,0.042154072094368215,0.08250862674989419,1,1,1,52048.07747848784,16.3,6.433843278461408,67729.375,0.001,4731.8,9,153023,6.912303727213931,4731800.0,7883917.786140001,1,72470.175,249085078.0,49358344.40556567,6631733.8079195125,363.41901267398924,193094999.78651485,31648.270465009784,1,59937500.0,-229761.8314667042,1,1,1,1,1,1,0.000455,1,1,1,1,1,2736.2593354012038,1018.075361436163,1252.5556886953764,2.40354609929078,0.7340425531914894,1706.3802135850055,0.5964539007092199,1.5,1035,3389,841,145.866147756439,17794.72214026545,3.397514530089417,12701.596154254636,1492.1383694549006,222991.5055171109,9232860.0,0.1,0.9972367124453008,0.0258,0.00831,0.0902,126.24449224867641,2.0,0.004334112748445584,15191.876323547101,0.0104,0.1958,0,1.0027632875546992,85529.62072392271,1.0048357532207237,0.0,0.008668225496891169,2.6,0.0671,34941.31554415833,2.3,147620.37665232742,4.224808778758399,0.9982663549006218,100,0.662,90,0.05696
